,music,hastag_data,author_follower,author_heart,play
254,Geef mij maar Amsterdam,yukcaritau,521700,23800000,1100000
255,Love Nwantiti,yukcaritau,327400,7500000,2300000
256,Unstoppable,yukcaritau,52400,628200,299200
257,Berdua Bersama,yukcaritau,308500,6900000,309900
258,Squid Game - Green Light Red Light,yukcaritau,647000,16900000,357400
259,Little Mix - Hair,yukcaritau,677400,12100000,141900
260,Steven Universe,yukcaritau,701900,9300000,170400
261,Way Back then,yukcaritau,1100000,31800000,315600
262,original sound - Rowie Eka 🤍,yukcaritau,371600,11500000,854500
263,Monkeys Spinning Monkeys,yukcaritau,972600,22200000,2400000
264,[Healing] Music box for reminiscence scenes,yukcaritau,163800,2200000,107600
265,Pokemon Theme,yukcaritau,97800,1300000,63900
266,original sound - Priscilla Lee 이예은,yukcaritau,2000000,49300000,2000000
267,Into The Thick Of It!,yukcaritau,4000000,100100000,1900000
268,Milk Tea,yukcaritau,2969,320900,336500
269,Home,yukcaritau,592000,19300000,838700
270,Get Into It (Yuh),yukcaritau,273,2709,60300
271,suara asli - febriana wulaningrum,yukcaritau,4106,54800,292200
272,Classical Music,yukcaritau,393700,6700000,784700
273,original sound,yukcaritau,159000,1300000,708000
274,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,139700,2500000,691000
275,GUY.exe,yukcaritau,94600,3400000,66100
276,Flying Deep in the Night,yukcaritau,93200,1500000,307400
277,original sound - FLo Lemaknyo 🐣,yukcaritau,647000,16900000,289200
278,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,54900,1700000,697400
279,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,1800000,35300000,73200
280,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,4000000,100100000,2100000
281,suara asli - romy,yukcaritau,189800,10400000,647600
282,Wali Yank by Iyuz misterius,yukcaritau,1500000,18000000,406400
283,habits stay high,yukcaritau,157300,4200000,372200
284,original sound - mia oktavia,yukcaritau,383100,10200000,328500
285,qing fei de yi meteor garden ost,yukcaritau,356000,4600000,141400
286,edamame,yukcaritau,114100,2200000,305400
287,original sound - youtube : Prio Romano,yukcaritau,243900,5200000,235700
288,The Creepy Music Box (Psychological Thriller / Horror),yukcaritau,766700,18400000,2200000
289,Bombastic,yukcaritau,356000,4600000,1000000
290,Squid Game - Green Light Red Light,yukcaritau,1100000,31800000,2300000
291,Squid Game - Green Light Red Light,yukcaritau,526400,12700000,1600000
292,Dinda,yukcaritau,1600000,38900000,636400
293,Quirky,yukcaritau,74600,1600000,696800
294,LALISA,yukcaritau,78400,2000000,411400
295,Chuck Manzione-style Spanish song(958681),yukcaritau,521700,23800000,750600
296,love is done,yukcaritau,105000,2100000,867000
297,Dj Luffy Thai Remix,yukcaritau,380000,3300000,938800
298,To the Bone,yukcaritau,112200,6600000,694400
299,original sound - Dims The Meat Guy,yukcaritau,4200000,125400000,790200
300,钢琴曲青春时光,yukcaritau,166500,3900000,1100000
301,ONLY,yukcaritau,174600,6000000,333600
302,Dandelions (slowed + reverb),yukcaritau,1100000,45200000,10200000
303,Clouds,yukcaritau,523000,12800000,10900000
304,Squid Game - Green Light Red Light,yukcaritau,883400,33600000,8200000
305,Pink Soldiers,yukcaritau,1400000,18000000,2800000
306,Horror atmosphere piano & SE.,yukcaritau,125600,5400000,3200000
307,Addicted to Finessing (feat. Retro Messiah),yukcaritau,3700000,30300000,4800000
308,MONEY,yukcaritau,273900,4000000,1800000
309,Welcome To Indonesia,yukcaritau,2200000,55100000,2300000
310,edamame,yukcaritau,851400,18500000,2000000
311,original sound - kikie agahari,yukcaritau,19500,785900,6200000
312,original sound,shopee,191800,4000000,17300000
313,everyone using this sound,shopee,783900,14200000,12800000
314,AMAKABOGERA,shopee,99500,1900000,24800000
315,Monkeys Spinning Monkeys,shopee,347000,4800000,13600000
316,som original,shopee,155800,1600000,18800000
317,som original,shopee,222500,4000000,8300000
318,original sound - Alex Gonzaga,shopee,5400000,39400000,11000000
319,original sound - alsa,shopee,39600,2400000,9000000
320,AWAS SAMA OLSHOP INI,shopee,64000,1700000,10100000
321,Langit,shopee,8626,1400000,11400000
322,original sound - tiktokIDofficial,antigaptek,4900000,30400000,17100000
323,STAY,antigaptek,15600,288200,233200
324,MONEY,antigaptek,169200,5600000,448300
